file_path,file_name,filing_date,ticker,esg_score,esg_controversy_score,esgc_score,matched_score_date
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2021-Dec-08 - ADI.OQ - Analog Devices Inc - Diversity Policy - DIVERSITY & INCLUSION - cr11957628.txt,Filing Date - 2021-Dec-08 - ADI.OQ - Analog Devices Inc - Diversity Policy - DIVERSITY & INCLUSION - cr11957628.txt,2021-12-08,ADI.OQ,73.100263906406,39.2857142857143,,2021-12-08
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2021-Jan-19 - ADI.OQ - Analog Devices Inc - ESG - Health Pol - Workplace Safety Overview - cr10266568.txt,Filing Date - 2021-Jan-19 - ADI.OQ - Analog Devices Inc - ESG - Health Pol - Workplace Safety Overview - cr10266568.txt,2021-01-19,ADI.OQ,72.0820315281392,100.0,,2021-01-19
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2021-Jun-08 - ADI.OQ - Analog Devices Inc - Code of Conduct - Code of Business Conduct and Ethics - cr11290698.txt,Filing Date - 2021-Jun-08 - ADI.OQ - Analog Devices Inc - Code of Conduct - Code of Business Conduct and Ethics - cr11290698.txt,2021-06-08,ADI.OQ,72.0820315281392,100.0,,2021-06-08
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2015-Jun-25 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - — - cr04271753.txt,Filing Date - 2015-Jun-25 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - — - cr04271753.txt,2015-06-25,ADI.OQ,79.8725366139633,100.0,,2015-06-25
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2015-Jun-25 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - — - cr04271751.txt,Filing Date - 2015-Jun-25 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - — - cr04271751.txt,2015-06-25,ADI.OQ,79.8725366139633,100.0,,2015-06-25
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Oct-18 - ADI.OQ - Analog Devices Inc - Workforce Report - 2023 EEO-1 Report - cr18841809.txt,Filing Date - 2024-Oct-18 - ADI.OQ - Analog Devices Inc - Workforce Report - 2023 EEO-1 Report - cr18841809.txt,2024-10-18,ADI.OQ,68.8453774403586,100.0,,2024-10-18
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Jan-23 - ADI.OQ - Analog Devices Inc - Committee Charters - Compensation And Talent Committee Charter - cr17574848.txt,Filing Date - 2024-Jan-23 - ADI.OQ - Analog Devices Inc - Committee Charters - Compensation And Talent Committee Charter - cr17574848.txt,2024-01-23,ADI.OQ,68.8453774403586,100.0,,2024-01-23
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Sep-06 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Automotive Battery Management Systems_202409060434... - cr18677696.txt,Filing Date - 2024-Sep-06 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Automotive Battery Management Systems_202409060434... - cr18677696.txt,2024-09-06,ADI.OQ,68.8453774403586,100.0,,2024-09-06
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2020-May-07 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Integrity and Ethical Behavior – Employees - cr09294327.txt,Filing Date - 2020-May-07 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Integrity and Ethical Behavior – Employees - cr09294327.txt,2020-05-07,ADI.OQ,76.7453194593213,100.0,,2020-05-07
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2023-Jul-01 - ADI.OQ - Analog Devices Inc - Code of Conduct - Code of Business Conduct and Ethics - cr16075998.txt,Filing Date - 2023-Jul-01 - ADI.OQ - Analog Devices Inc - Code of Conduct - Code of Business Conduct and Ethics - cr16075998.txt,2023-07-01,ADI.OQ,74.5445450965832,100.0,,2023-06-30
